patientID	SampleID	cnv_Count
SU2CR02	SU2CR02-c1	2
SU2CR04	SU2CR04-c1	2
SU2CR09	SU2CR09-c1	1
SU2CR10	SU2CR10-c1	1
SU2CR17	SU2CR17-c1	1
SU2CR19	SU2CR19-c1	1
SU2CR20	SU2CR20-c1	4
SU2CR23	SU2CR23-c1	2
SU2CR24	SU2CR24-c1	1
SU2CR26	SU2CR26-c1	1
SU2CR31	SU2CR31-c1	1
SU2CR33	SU2CR33-c1	1
SU2CR40	SU2CR40-c1	1
SU2CR42	SU2CR42-c1	4
SU2CR47	SU2CR47-c1	1
SU2CR52	SU2CR52-c1	2
SU2CR64	SU2CR64-c1	1
SU2CR69	SU2CR69-c1	2
SU2CR71	SU2CR71-c1	1
SU2CS03	SU2CS03-c1	3
SU2CS05	SU2CS05-c1	1
SU2CS08	SU2CS08-c1	1
SU2CS09	SU2CS09-c1	2
SU2CS10	SU2CS10-c1	3
SU2CS13	SU2CS13-c1	1
SU2CS14	SU2CS14-c1	1
SU2CS16	SU2CS16-c1	2
SU2CS23	SU2CS23-c1	2
SU2CS25	SU2CS25-c1	1
SU2CS28	SU2CS28-c1	2
SU2CS33	SU2CS33-c1	2
SU2CS34	SU2CS34-c1	1
SU2CS38	SU2CS38-c1	2
SU2CS45	SU2CS45-c1	4
SU2CS48	SU2CS48-c1	1
SU2CS52	SU2CS52-c1	1
SU2CS59	SU2CS59-c1	1
SU2CS63	SU2CS63-c1	3
SU2CS64	SU2CS64-c1	1
SU2CS66	SU2CS66-c1	2
SU2CS68	SU2CS68-c1	3
SU2CS69	SU2CS69-c1	1
SU2CS72	SU2CS72-c1	1
SU2CS74	SU2CS74-c1	1
SU2CR15	SU2CR15-c1	2
SU2CR49	SU2CR49-c1	3
SU2CR77	SU2CR77-c1	3
SU2CR79	SU2CR79-c1	2
SU2CR80	SU2CR80-c1	1
SU2CR81	SU2CR81-c1	3
SU2CS78	SU2CS78-c1	2
SU2CS81	SU2CS81-c1	1
SU2CR03	SU2CR03-c1	0
SU2CR05	SU2CR05-c1	0
SU2CR06	SU2CR06-c1	0
SU2CR07	SU2CR07-c1	0
SU2CR11	SU2CR11-c1	0
SU2CR14	SU2CR14-c1	0
SU2CR21	SU2CR21-c1	0
SU2CR22	SU2CR22-c1	0
SU2CR27	SU2CR27-c1	0
SU2CR29	SU2CR29-c1	0
SU2CR39	SU2CR39-c1	0
SU2CR41	SU2CR41-c1	0
SU2CR43	SU2CR43-c1	0
SU2CR44	SU2CR44-c1	0
SU2CR70	SU2CR70-c1	0
SU2CR72	SU2CR72-c1	0
SU2CR73	SU2CR73-c1	0
SU2CS17	SU2CS17-c1	0
SU2CS26	SU2CS26-c1	0
SU2CS30	SU2CS30-c1	0
SU2CS39	SU2CS39-c1	0
SU2CS49	SU2CS49-c1	0
SU2CS50	SU2CS50-c1	0
SU2CS53	SU2CS53-c1	0
SU2CS54	SU2CS54-c1	0
SU2CS60	SU2CS60-c1	0
SU2CS61	SU2CS61-c1	0
SU2CS65	SU2CS65-c1	0
SU2CS67	SU2CS67-c1	0
SU2CS70	SU2CS70-c1	0
SU2CS71	SU2CS71-c1	0
SU2CS73	SU2CS73-c1	0
SU2CR75	SU2CR75-c1	0
SU2CR76	SU2CR76-c1	0
SU2CR78	SU2CR78-c1	0
SU2CR82	SU2CR82-c1	0
SU2CR83	SU2CR83-c1	0
SU2CR84	SU2CR84-c1	0
SU2CS77	SU2CS77-c1	0
SU2CS79	SU2CS79-c1	0
SU2CS80	SU2CS80-c1	0
SU2CS35	SU2CS35-c1	0
LDCT01	LDCT01-c2	2
LDCT02	LDCT02-c2	0
LDCT03	LDCT03-c1	0
LDCT04	LDCT04-c1	2
LDCT05	LDCT05-c2	0
LDCT06	LDCT06-c1	1
LDCT08	LDCT08-c1	6
LDCT09	LDCT09-c1	0
LDCT10	LDCT10-c1	1
LDCT11	LDCT11-c1	0
LDCT12	LDCT12-c1	1
LDCT13	LDCT13-c1	0
LDCT14	LDCT14-c1	0
LDCT15	LDCT15-c1	1
LDCT16	LDCT16-c1	3
LDCT17	LDCT17-c1	0
LDCT18	LDCT18-c1	0
LDCT19	LDCT19-c1	4
LDCT20	LDCT20-c1	0
LDCT21	LDCT21-c1	1
LDCT22	LDCT22-c1	0
LDCT23	LDCT23-c1	1
LDCT24	LDCT24-c1	0
LDCT25	LDCT25-c1	0
LDCT26	LDCT26-c1	1
LDCT27	LDCT27-c1	1
LDCT28	LDCT28-c1	0
LDCT29	LDCT29-c1	0
LDCT31	LDCT31-c1	1
LDCT33	LDCT33-c1	1
LDCT34	LDCT34-c1	0
LDCT35	LDCT35-c1	0
LDCT36	LDCT36-c1	0
LDCT37	LDCT37-c1	0
LDCT39	LDCT39-c1	0
LDCT41	LDCT41-c1	2
LDCT42	LDCT42-c1	0
LDCT43	LDCT43-c1	0
LDCT44	LDCT44-c1	0
LDCT45	LDCT45-c1	0
LDCT46	LDCT46-c1	0
LDCT47	LDCT47-c1	0
LDCT48	LDCT48-c1	0
LDCT49	LDCT49-c1	2
LDCT50	LDCT50-c1	0
LDCT51	LDCT51-c1	0
LDCT52	LDCT52-c1	0
LDCT53	LDCT53-c1	4
LDCT54	LDCT54-c1	0
LDCT55	LDCT55-c1	1
LDCT56	LDCT56-c1	0
LDCT57	LDCT57-c1	1
LDCT58	LDCT58-c1	1
LDCT60	LDCT60-c1	0
LDCT61	LDCT61-c1	2
LDCT62	LDCT62-c1	1
LUP296	LUP296-c1-2	0
LUP306	LUP306-c1	1
LUP351	LUP351-c1-2	4
LUP352	LUP352-c1-2	0
LUP393	LUP393-c1	2
LUP396	LUP396-c1	2
LUP476	LUP476-c1	7
LUP496	LUP496-c1	2
LUP497	LUP497-c1	0
LUP498	LUP498-c1	1
LUP499	LUP499-c1	1
LUP501	LUP501-c1	0
LUP502	LUP502-c1	1
LUP503	LUP503-c1	1
LUP505	LUP505-c1-combined	5
LUP506	LUP506-c1-combined	1
LUP507	LUP507-c1	3
LUP508	LUP508-c1	0
LUP509	LUP509-c1	1
LUP511	LUP511-c1	1
LUP513	LUP513-c1-combined	0
LUP514	LUP514-c1-combined	0
LUP515	LUP515-c1	1
LUP516	LUP516-c1	3
LUP517	LUP517-c1	1
LUP535	LUP535-c1	0
LUP538	LUP538-c1	4
